,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,id,author_id,author,n_rt,text_complete,hashtags,colours_y,Id,Label,Colour,text_preprocessed,text_preprocessed_new,sentiment
352,352,352,352,352,352,352,352,1475186625768566793,1418302669752606728,ilpoliticomico,1,"Il #governodeipeggiori si inventerà che lo dobbiamo pagare per lavorare come ha fatto con i #tamponi!
#nogreenpass #terzadose #supergreenpass #megagreenpass  #lockdown https://t.co/yTi6vLwnSs",#nogreenpass,#aaaacc,,,,il si inventerà che lo dobbiamo pagare per lavorare come ha fatto con i,inventare dovere pagare lavorare fare,-0.1027
353,353,353,353,353,353,353,353,1475043918525906944,1309482182075920384,BiagioSiracusa,13,"Solo uniti potremo contrastare il nuovo nazismo.
#nogreenpaSS
#IONONMIARRENDO https://t.co/OOlX0DCiJN https://t.co/yEULgauylX",#vaccinatevi,1,1.3094821820759204e+18,BiagioSiracusa,#b00b69,solo uniti potremo contrastare il nuovo nazismo ,solo unito potere contrastare nuovo nazismo,0.4215
354,354,354,354,354,354,354,354,1475170514779922432,1422494296805085193,Peace_Love000,1,"⭕⭕⭕‼️‼️‼️‼️‼️❓❓
Ho bisogno  di un informazione. 
Qualcuno sostiene  che noi no cavie non possiamo più entrare  nei supermercati  dopo il 10 gennaio  ???  
Voi ne siete  a conoscenza ❓❓
#nogreenpass 
#unitisivince 
#informazione",#nogreenpass,#aaaacc,,,,                ho bisogno di un informazione  qualcuno sostiene che noi no cavie non possiamo più entrare nei supermercati dopo il 10 gennaio     voi ne siete a conoscenza   ,bisogno informazione qualcuno sostenere no cavia potere entrare supermercato dopo 10 gennaio conoscenza,-0.7184
355,355,355,355,355,355,355,355,1474843449232961538,1238800491632607232,gianluca826,56,"25/12/21 NATALE
Vittorio (eroe del 18 ottobre il giorno della vergogna) e i #PortualidiTrieste al presidio di #Napoli davanti alla Rai.
Sono ancora a sostegno dei Vigili del fuoco che scioperano contro il #draghistan dal giorno 10/12/21. #NoGreenPass https://t.co/2yb1bsrShO",#NoGreenPass,0,1.2388004916326072e+18,gianluca826,#99cccc,25 12 21 natale vittorio  eroe del 18 ottobre il giorno della vergogna  e i al presidio di davanti alla rai  sono ancora a sostegno dei vigili del fuoco che scioperano contro il dal giorno 10 12 21 ,25 12 21 natale vittorio eroe 18 ottobre giorno vergogna presidio davanti rai ancora sostegno vigile fuoco scioperare giorno 10 12 21,0.4019
356,356,356,356,356,356,356,356,1474770173978890240,1460634559113043973,AlexS8338,18,Purtroppo non è un fake... 😑 #25dicembre #novax #nogreenpass #omicron #Natale2021 @a_meluzzi @Capezzone @dottorbarbieri @fratotolo2 @liliaragnar @ZioKlint @MessoraClaudio @ladyonorato @fdragoni @AlexGiudetti @rubino7004 @SoniaLaVera @LucioMalan @GiulioMarini2 @gparagone https://t.co/VZs7qQssdR,#NoGreenPass,0,1.460634559113044e+18,AlexS8338,#fb1239,purtroppo non è un fake     ,purtroppo fake,0.6266
357,357,357,357,357,357,357,357,1475147393423319046,1447476230517927936,Aurora88969659,2,"Quindi i super negazionisti famosi prendono il covid e muoiono tutti, e invece tutta la gente non vaccinata  che si contagia che conosco io è praticamente asintomatica. Forse bisogna essere famosi per morire di covid boh 

#nogreenpass",#NoGreenPass,0,1.447476230517928e+18,Aurora88969659,#fb1239,quindi i super negazionisti famosi prendono il covid e muoiono tutti  e invece tutta la gente non vaccinata che si contagia che conosco io è praticamente asintomatica  forse bisogna essere famosi per morire di covid boh,quindi super negazionisti famoso prendere covid morire invece tutto gente vaccinata contagiare conoscere praticamente asintomatica forse bisognare essere famoso morire covid boh,-0.8375
358,358,358,358,358,358,358,358,1472273090012983304,1471853368587042828,ConsueloBellino,1,Manifestazione no green pass Torino #NoGreenPass #DRAGHIinGALERA  #Draghi  #governodeipeggiori  #COVID19 https://t.co/3yEOsgpamF,['#NoGreenPass'],#fb1239,,,,manifestazione no green pass torino,manifestazione no green pass torino,-0.7184
359,359,359,359,359,359,359,359,1475162207394664464,1422494296805085193,Peace_Love000,2,"Se i bar chiudono, è sicuramente  colpa dei novacsss che non stanno andando  😜🤣🤣🤣🤣
#NoGreenPass 
#governodicriminali",['#NoGreenPass'],#fb1239,,,,se i bar chiudono  è sicuramente colpa dei novacsss che non stanno andando      ,bar chiudere sicuramente colpa novacsss andare,-0.0772
360,360,360,360,360,360,360,360,1475160399934898176,1436260950198431750,ManuelaV_a,4,“Togliere cose alla gente finché non dice si non è una scelta” #NoGreenPass #novax #megagreenpass https://t.co/QnjdcOGmlW,#NoGreenPass,0,1.4362609501984315e+18,ManuelaV_a,#fb1239, togliere cose alla gente finché non dice si non è una scelta ,togliere cosa gente finché dire scegliere,0.7691
361,361,361,361,361,361,361,361,1475144914518355971,722143683018170368,magnani_ph,1,"@andreavianel L'Ahime' sa tanto di cxxo che brucia, perché vi hanno inoculato un prodotto che non garantisce immunità e nemmeno la sicurezza di non finire i TI. E siete in forte apprensione se come la  #lucarelli non vi spostate senza #tampone. #megagreenpass #NoGreenPass https://t.co/lCIidT4APp",['#NoGreenPass'],#fb1239,,,,l ahime  sa tanto di cxxo che brucia  perché vi hanno inoculato un prodotto che non garantisce immunità e nemmeno la sicurezza di non finire i ti  e siete in forte apprensione se come la non vi spostate senza,ahime sapere tanto cxxo bruciare inoculare prodotto garantire immunità nemmeno sicurezza finire forte apprensione spostare senza,-0.8713
